,date,id,lemmatized,lemmatized_nostopw,len,month,text,text_nostopw,year
0,1557003765,3549290,пожалуй это самый жестокий история который у мы публиковаться как сообщать в соцсеть состояться суд над два наркоман убивать и расчленять летний житель нижний тур свердловский область олег тюлькин оба получать по год заключение в колония строгий режим напоминать убийство происходить август отрезать от туловище жертва голова негодяй играть она в пионербол заниматься непристойность и устрашающий смеяться свой развлечение приятель снимать на мобильный телефон видеозапись мы выкладывать в телегр канал август гулять вдоль болото ребенок обнаруживать пакет с часть тело тюлькин и сообщать о находка взрослый фотография сделать криминалист размещать в наш закрытый группа плохой новость ,пожалуй жестокий история публиковаться сообщать соцсеть состояться суд наркоман убивать расчленять летний житель нижний тур свердловский область олег тюлькин получать заключение колония строгий режим напоминать убийство происходить август отрезать туловище жертва негодяй играть пионербол заниматься непристойность устрашающий смеяться развлечение приятель снимать мобильный телефон видеозапись выкладывать телегр канал август гулять вдоль болото обнаруживать пакет тело тюлькин сообщать находка взрослый фотография криминалист размещать закрытый группа плохой новость,96,05,пожалуй это самая жестокая история которая у нас публиковалась как сообщают в соцсетях состоялся суд над двумя наркоманами убившими и расчленившими летнего жителя нижней туры свердловской области олега тюлькина оба получили по лет заключения в колонии строгого режима напомню убийство произошло августа отрезав от туловища жертвы голову негодяи играли ей в пионербол занимались непристойностями и устрашающе смеялись свои развлечения приятели сняли на мобильный телефон видеозапись мы выложили в телеграм канал августа гуляющие вдоль болота дети обнаружили пакеты с частями тела тюлькина и сообщили о находке взрослым фотографии сделанные криминалистами размещены в нашей закрытой группе плохие новости ,пожалуй самая жестокая история публиковалась сообщают соцсетях состоялся суд двумя наркоманами убившими расчленившими летнего жителя нижней туры свердловской области олега тюлькина получили заключения колонии строгого режима напомню убийство произошло августа отрезав туловища жертвы голову негодяи играли пионербол занимались непристойностями устрашающе смеялись развлечения приятели сняли мобильный телефон видеозапись выложили телеграм канал августа гуляющие вдоль болота дети обнаружили пакеты частями тела тюлькина сообщили находке взрослым фотографии сделанные криминалистами размещены нашей закрытой группе плохие новости,2019
1,1557162757,3561368,бойцовый алабай загрызать прохожий шокировать новость приходить из свердловский область где накануне огромный алабай убивать летний николай терентьев мужчина находиться на территория пилорама и проходить мимо будка в который жить злой пес ничто не предвещать беда но когда коля приближаться к домик на он резко выбегать собака разъярять алабай повалить бедолага начинать терзать он плоть вцепляться в шея а затем затащить в конура спустя какой то время пес убийца выволакивать труп обратно на улица виноватый во все хозяин собака и пилорама фархад курбанов который воспитывать три подобный животное в спартанский условие а также систематически возить на собачий бой как говорить местный блохастый трио часто проявлять агрессия к местный житель и другой собака видео с нападение мы выкладывать в телегр канал ,бойцовый алабай загрызать прохожий шокировать новость приходить свердловский область накануне огромный алабай убивать летний николай терентьев мужчина находиться территория пилорама проходить будка злой пес предвещать беда коля приближаться домик резко выбегать собака разъярять алабай повалить бедолага начинать терзать плоть вцепляться шея затащить конура спустя пес убийца выволакивать труп обратно виноватый хозяин собака пилорама фархад курбанов воспитывать подобный животное спартанский условие систематически возить собачий бой местный блохастый трио проявлять агрессия местный житель собака видео нападение выкладывать телегр канал,120,05,бойцовый алабай загрыз прохожего шокирующая новость пришла из свердловской области где накануне огромный алабай убил летнего николая терентьева мужчина находился на территории пилорамы и проходил мимо будки в которой жил злой пес ничего не предвещало беды но когда коля приблизился к домику на него резко выбежала собака разъяренный алабай повалил бедолагу начал терзать его плоть вцепился в шею а затем затащил в конуру спустя какое то время пес убийца выволок труп обратно на улицу виноват во всем хозяин собаки и пилорамы фархад курбанов который воспитывает трех подобных животных в спартанских условиях а также систематически возит на собачьи бои как говорят местные блохастое трио часто проявляет агрессию к местным жителям и другим собакам видео с нападением мы выложили в телеграм канал ,бойцовый алабай загрыз прохожего шокирующая новость пришла свердловской области накануне огромный алабай убил летнего николая терентьева мужчина находился территории пилорамы проходил будки жил злой пес предвещало беды коля приблизился домику резко выбежала собака разъяренный алабай повалил бедолагу начал терзать плоть вцепился шею затащил конуру спустя пес убийца выволок труп обратно улицу виноват хозяин собаки пилорамы фархад курбанов воспитывает трех подобных животных спартанских условиях систематически возит собачьи бои говорят местные блохастое трио проявляет агрессию местным жителям собакам видео нападением выложили телеграм канал,2019
2,1557152700,3560626,в нижний новгород находить мертвый пропадать ранее девушка она надоедать жить апрель около летний надежда ежов уходить из школа искусство в автозаводской район нижний новгород и с этот момент переставать выходить на связь с родные по факт исчезновение летний нижегородка быть возбуждать уголовный дело по признак статья убийство как сегодня сообщать в поисковый спасательный группа рысь тело летний надежда быть обнаруживать в река волга рано утро май местный рыбак возвращаться после ночной рыбалка и замечать возле берег в вода тело девушка по слово подруга в социальный сеть юный девушка в последний время находиться в жуткий депрессия и высказывать мысль о то что она надоедать жить ,нижний новгород находить мертвый пропадать ранее девушка надоедать апрель летний надежда ежов уходить школа искусство автозаводской район нижний новгород момент переставать выходить связь родные факт исчезновение летний нижегородка возбуждать уголовный признак статья убийство сообщать поисковый спасательный группа рысь тело летний надежда обнаруживать река волга май местный рыбак возвращаться ночной рыбалка замечать возле берег тело девушка подруга социальный сеть юный девушка находиться жуткий депрессия высказывать мысль надоедать,105,05,в нижнем новгороде нашли мертвой пропавшую ранее девушку ей надоело жить апреля около летняя надежда ежова ушла из школы искусств в автозаводском районе нижнего новгорода и с этого момента перестала выходить на связь с родными по факту исчезновения летней нижегородки было возбуждено уголовное дело по признакам статьи убийство как сегодня сообщили в поисково спасательной группе рысь тело летней надежды было обнаружили в реке волге рано утром мая местные рыбаки возвращались после ночной рыбалки и заметили возле берега в воде тело девушки по словам подруг в социальных сетях юная девушка в последнее время находилась в жуткой депрессии и высказывала мысли о том что ей надоело жить ,нижнем новгороде нашли мертвой пропавшую ранее девушку надоело апреля летняя надежда ежова ушла школы искусств автозаводском районе нижнего новгорода момента перестала выходить связь родными факту исчезновения летней нижегородки возбуждено уголовное признакам статьи убийство сообщили поисково спасательной группе рысь тело летней надежды обнаружили реке волге утром мая местные рыбаки возвращались ночной рыбалки заметили возле берега воде тело девушки словам подруг социальных сетях юная девушка последнее находилась жуткой депрессии высказывала мысли надоело,2019
3,1557144007,3560043,российский чиновник устраивать себя выходной в честь день поминовение усопший в оренбургский область чиновник объявлять радоница день поминовение усопший нерабочий день для работник орган исполнительный власть сообщать радиостанция говорить москва соответствующий распоряжение быть подписывать врио губернатор регион денис паслер апрель в сеть появляться фото документ как пояснять в пресс служба местный администрация глава муниципальный образование рекомендовать объявлять этот день нерабочий частный предприятие мочь самостоятельно решать устраивать выходной день по случай православный праздник или нет радоница это день когда весь человек ехать на кладбище убирать могила свой родственник это всегда быть заявлять собеседник радиостанция день поминовение усопший как правило отмечаться на второй неделя после пасха в этот год он приходиться на май ,российский чиновник устраивать выходной честь поминовение усопший оренбургский область чиновник объявлять радоница поминовение усопший нерабочий работник орган исполнительный власть сообщать радиостанция соответствующий распоряжение подписывать врио губернатор регион денис паслер апрель сеть появляться фото документ пояснять пресс служба местный администрация глава муниципальный образование рекомендовать объявлять нерабочий частный предприятие самостоятельно решать устраивать выходной православный праздник радоница ехать кладбище убирать могила родственник заявлять собеседник радиостанция поминовение усопший правило отмечаться неделя пасха приходиться май,111,05,российские чиновники устроили себе выходной в честь дня поминовения усопших в оренбургской области чиновники объявили радоницу день поминовения усопших нерабочим днем для работников органов исполнительной власти сообщает радиостанция говорит москва соответствующее распоряжение было подписано врио губернатора региона денисом паслером апреля в сети появилось фото документа как пояснили в пресс службе местной администрации главам муниципальных образований рекомендовали объявить этот день нерабочим частные предприятия могут самостоятельно решить устраивать выходной день по случаю православного праздника или нет радоница это день когда все люди едут на кладбища убирают могилы своих родственников это всегда было заявил собеседник радиостанции день поминовения усопших как правило отмечается на второй неделе после пасхи в этом году он приходится на мая ,российские чиновники устроили выходной честь дня поминовения усопших оренбургской области чиновники объявили радоницу поминовения усопших нерабочим днем работников органов исполнительной власти сообщает радиостанция соответствующее распоряжение подписано врио губернатора региона денисом паслером апреля сети появилось фото документа пояснили пресс службе местной администрации главам муниципальных образований рекомендовали объявить нерабочим частные предприятия самостоятельно устраивать выходной случаю православного праздника радоница едут кладбища убирают могилы родственников заявил собеседник радиостанции поминовения усопших правило отмечается неделе пасхи приходится мая,2019
4,1557140402,3559828, написать бот что бы получать первый заем без процент и переплата все честно весь условие и юридический штучка тут ,написать бот получать заем процент переплата честно условие юридический штучка,19,05, напиши боту что бы получить первый займ без процентов и переплат все честно все условия и юридические штучки тут ,напиши боту займ переплат честно условия юридические штучки,2019
5,1557136500,3559554,адам нит который выступать под сценический имя адам скай быть находить в лужа собственный кровь на курорт на юг остров бали в город кут май около час утро диджей отдыхать в отель с два друг через некоторый время он понимать что в номер не хватать его сотрудница россиянка зоя лукьянцевый она совершенно голый упасть с терраса в бассейн пролететь при это четыре метр и сломать себя нога представитель полиция полагать что адам помчаться во двор чтобы помогать женщина но не рассчитать сила и врезаться в стеклянный дверь при это мужчина получать глубокий порез на рука который и приводить к смертельный кровопотеря шокировать сотрудник курорт рассказывать иностранный издание что диджей быть очень дружелюбный несмотря на мировой успех он быть владелец музыкальный продакшн студия совсем недавно он выступать в сингапур в прошлый год его признавать третий хороший диджей азия ,адам нит выступать сценический адам скай находить лужа собственный кровь курорт юг остров бали кут май диджей отдыхать отель номер хватать сотрудница россиянка зоя лукьянцевый совершенно голый упасть терраса бассейн пролететь метр сломать представитель полиция полагать адам помчаться двор помогать рассчитать врезаться стеклянный мужчина получать глубокий порез приводить смертельный кровопотеря шокировать сотрудник курорт рассказывать иностранный издание диджей дружелюбный несмотря мировой успех владелец музыкальный продакшн студия выступать сингапур прошлый признавать диджей азия,137,05,адам нит который выступал под сценическим именем адам скай был найден в луже собственной крови на курорте на юге острова бали в городе кута мая около часов утра диджей отдыхал в отеле с двумя друзьями через некоторое время он понял что в номере не хватает его сотрудницы россиянки зои лукьянцевой она совершенно голая упала с террасы в бассейн пролетев при этом четыре метра и сломала себе ногу представители полиции полагают что адам помчался во двор чтобы помочь женщине но не рассчитал сил и врезался в стеклянную дверь при этом мужчина получил глубокие порезы на руках которые и привели к смертельной кровопотере шокированные сотрудники курорта рассказали иностранному изданию что диджей был очень дружелюбным несмотря на мировой успех он был владельцем музыкальной продакшн студии совсем недавно он выступал в сингапуре в прошлом году его признали третьим лучшим диджеем азии ,адам нит выступал сценическим именем адам скай найден луже собственной крови курорте юге острова бали городе кута мая часов утра диджей отдыхал отеле двумя друзьями некоторое понял номере хватает сотрудницы россиянки зои лукьянцевой совершенно голая упала террасы бассейн пролетев метра сломала ногу представители полиции полагают адам помчался двор помочь женщине рассчитал сил врезался стеклянную мужчина получил глубокие порезы руках привели смертельной кровопотере шокированные сотрудники курорта рассказали иностранному изданию диджей дружелюбным несмотря мировой успех владельцем музыкальной продакшн студии выступал сингапуре прошлом признали третьим лучшим диджеем азии,2019
6,1557129604,3558966,волонтер начинать уборка гора эверест только за первый два неделя акция быть собирать три тонна мусор три тонна мусор который собирать команда из человек это примерно масса два внедорожник или один взрослый бегемот волонтер планировать продолжать акция в течение день и собирать тонна отходы вывозить находка с гора высота м приходиться с помощь вертолет среди находка пустой банка бутылка альпинистский снаряжение волонтер также сталкиваться с проблема потепление климат таить снег открывать весь новый тело погибать находить уже четыре тело погибший с год на гора погибать более человек большинство из который так и оставаться там власть непал долгий время пытаться решать проблема захламленность эверест который привлекать альпинист со весь мир в последний десятилетие расти популярность вершина приводить к то что хрупкий экосистема гора оказываться под угроза с год предприниматься попытка наконец прибираться на гора с год альпинист оставлять перед подъем на гора депозит который они вернуть только если они приносить назад кг мусор китай же и вовсе запрещать со свой территория посещать гора тот кто не планировать восхождение наш цель состоять в то чтобы собирать как можно много мусор с эверест необходимо восстанавливать слава гора эверест это не просто корона мир этот наш гордость рассказывать начальник департамент туризм непал данду радж гимир ,волонтер начинать уборка гора эверест неделя акция собирать тонна мусор тонна мусор собирать команда примерно масса внедорожник взрослый бегемот волонтер планировать продолжать акция течение собирать тонна отходы вывозить находка гора высота приходиться помощь вертолет среди находка пустой банка бутылка альпинистский снаряжение волонтер сталкиваться проблема потепление климат таить снег открывать тело погибать находить тело погибший гора погибать большинство оставаться власть непал долгий пытаться решать проблема захламленность эверест привлекать альпинист десятилетие расти популярность вершина приводить хрупкий экосистема гора оказываться угроза предприниматься попытка прибираться гора альпинист оставлять подъем гора депозит вернуть приносить кг мусор китай вовсе запрещать территория посещать гора планировать восхождение цель состоять собирать мусор эверест необходимо восстанавливать слава гора эверест корона гордость рассказывать начальник департамент туризм непал данду радж гимир,201,05,волонтеры начали уборку горы эверест только за первые две недели акции было собрано три тонны мусора три тонны мусора которые собрала команда из человек это примерно масса двух внедорожников или одного взрослого бегемота волонтеры планируют продолжать акцию в течение дней и собрать тонн отходов вывозить находки с горы высотой м приходится с помощью вертолета среди находок пустые банки бутылки альпинистское снаряжение волонтеры также столкнулись с проблемой потепления климата таящий снег открывает все новые тела погибших найдены уже четыре тела погибших с года на горе погибло более человек большинство из которых так и осталось там власти непала долгое время пытаются решить проблему захламленности эвереста который привлекает альпинистов со всего мира в последние десятилетия растущая популярность вершины привела к тому что хрупкая экосистема горы оказалась под угрозой с года предпринимаются попытки наконец прибраться на горе с года альпинисты оставляют перед подъемом на гору депозит который им вернут только если они принесут назад кг мусора китай же и вовсе запретил со своей территории посещать гору тем кто не планирует восхождение наша цель состоит в том чтобы собрать как можно больше мусора с эвереста необходимо восстановить славу горы эверест это не просто корона мира эту наша гордость рассказал начальник департамента туризма непала данду радж гимир ,волонтеры начали уборку горы эверест первые недели акции собрано тонны мусора тонны мусора собрала команда примерно масса внедорожников взрослого бегемота волонтеры планируют продолжать акцию течение дней собрать тонн отходов вывозить находки горы высотой приходится помощью вертолета среди находок пустые банки бутылки альпинистское снаряжение волонтеры столкнулись проблемой потепления климата таящий снег открывает новые тела погибших найдены тела погибших горе погибло большинство осталось власти непала долгое пытаются проблему захламленности эвереста привлекает альпинистов последние десятилетия растущая популярность вершины привела хрупкая экосистема горы оказалась угрозой предпринимаются попытки прибраться горе альпинисты оставляют подъемом гору депозит вернут принесут кг мусора китай вовсе запретил территории посещать гору планирует восхождение цель состоит собрать мусора эвереста необходимо восстановить славу горы эверест корона гордость рассказал начальник департамента туризма непала данду радж гимир,2019
7,1557126005,3558593,заказывать получать вскрывать смотреть если устраивать оплачивать ,заказывать получать вскрывать устраивать оплачивать,7,05,заказываете получаете вскрываете смотрите если устраивает оплачивайте ,заказываете получаете вскрываете смотрите устраивает оплачивайте,2019
8,1557123000,3558132,около один из деревня новгородский область обнаруживать расстрельный яма в который по предварительный данные находиться останки мирный советский гражданин расстреливать фашист во время великий отечественный война как сообщаться на сайт следственный управление ск рф по регион могильник находить представитель новгородский общественный организация поисковый экспедиция долина память н и орлов в район деревня жестяной горка батецкий район область о свой находка они сообщать в следственный орган апрель на место срочно выезжать следственно оперативный группа специалист осматривать яма и при раскопка извлекать оттуда пять скелет у три обнаруживать огнестрельный ранение голова поблизости от могильник следователь находить гильза от автоматический оружие иностранный производство по этот факт следственный орган провожать доследственный проверка назначать судебный медико криминалистический экспертиза ряд другой исследование по данные из архивный источник у деревня жестяной горка находиться шесть расстрельный яма где лежать останки много три тысяча советский мирный гражданин в тот число женщина и ребенок который оккупант казнить в год поиск остальной могильник продолжаться ,деревня новгородский область обнаруживать расстрельный яма предварительный данные находиться останки мирный гражданин расстреливать фашист великий отечественный сообщаться сайт следственный управление ск рф регион могильник находить представитель новгородский общественный организация поисковый экспедиция долина память н орлов район деревня жестяной горка батецкий район область находка сообщать следственный орган апрель срочно выезжать следственно оперативный группа специалист осматривать яма раскопка извлекать оттуда скелет обнаруживать огнестрельный ранение поблизости могильник следователь находить гильза автоматический оружие иностранный производство факт следственный орган провожать доследственный проверка назначать судебный медико криминалистический экспертиза исследование данные архивный источник деревня жестяной горка находиться расстрельный яма останки тысяча мирный гражданин число оккупант казнить поиск остальной могильник продолжаться,153,05,около одной из деревень новгородской области обнаружена расстрельная яма в которой по предварительным данным находятся останки мирных советских граждан расстрелянных фашистами во время великой отечественной войны как сообщается на сайте следственного управления ск рф по региону могильник нашли представители новгородской общественной организации поисковая экспедиция долина памяти н и орлова в районе деревни жестяная горка батецкого района области о своей находке они сообщили в следственные органы апреля на место срочно выехала следственно оперативная группа специалисты осмотрели яму и при раскопках извлекли оттуда пять скелетов у трех обнаружены огнестрельные ранения головы поблизости от могильника следователи нашли гильзы от автоматического оружия иностранного производства по этому факту следственные органы проводят доследственную проверку назначены судебные медико криминалистические экспертизы ряд других исследований по данным из архивных источников у деревни жестяная горка находится шесть расстрельных ям где лежат останки более трех тысяч советских мирных граждан в том числе женщин и детей которых оккупанты казнили в годах поиски остальных могильников продолжаются ,деревень новгородской области обнаружена расстрельная яма предварительным данным находятся останки мирных советских граждан расстрелянных фашистами великой отечественной войны сообщается сайте следственного управления ск рф региону могильник нашли представители новгородской общественной организации поисковая экспедиция долина памяти н орлова районе деревни жестяная горка батецкого района области находке сообщили следственные органы апреля срочно выехала следственно оперативная группа специалисты осмотрели яму раскопках извлекли оттуда скелетов трех обнаружены огнестрельные ранения головы поблизости могильника следователи нашли гильзы автоматического оружия иностранного производства факту следственные органы проводят доследственную проверку назначены судебные медико криминалистические экспертизы исследований данным архивных источников деревни жестяная горка находится расстрельных ям лежат останки трех советских мирных граждан числе женщин детей оккупанты казнили годах поиски остальных могильников продолжаются,2019
9,1557119400,3557771,хотеть чтобы ваш близкий быть на седьмой небо от счастие подарить они портрет от монро арт сейчас цена снижать успевать заказывать ,близкий небо счастие подарить портрет монро арт цена снижать успевать заказывать,21,05,хотите чтобы ваши близкие были на седьмом небе от счастья подарите им портрет от монро арт сейчас цены снижены успейте заказать ,хотите близкие седьмом небе счастья подарите портрет монро арт цены снижены успейте заказать,2019
